name,n.male,n.female,beijing,tianjin,hebei,shanxi,neimenggu,liaoning,jilin,heilongjiang,shanghai,jiangsu,zhejiang,anhui,fujian,jiangxi,shandong,henan,hubei,hunan,guangdong,guangxi,hainan,chongqing,sichuan,guizhou,yunnan,xizang,shaanxi,gansu,qinghai,ningxia,xinjiang,others
海,536608,14468,7621,4393,31850,12230,22683,25936,22728,30677,5109,25868,8535,25409,6944,15512,18704,19933,21871,25062,22936,36727,5724,13507,48645,37771,18760,98,9909,11012,1730,4030,4092,1165
国强,547291,2801,6453,6048,39234,21765,12793,17284,8675,14711,14375,25283,27911,18400,14190,17926,35794,66786,18593,27281,51558,15049,2814,6905,26971,7502,9233,50,14366,12649,1734,2642,3904,1230
凤,27029,522596,2567,2188,15030,4827,10036,27383,15236,30708,5750,35837,6911,45138,9480,12609,29930,28166,25569,27038,31930,34000,2468,29366,53806,29614,16801,72,7777,3886,541,1789,2254,918
威,477867,70938,9152,2530,16459,6813,7261,44313,18023,20328,3892,44486,13609,28417,9826,19389,20098,58497,72309,51991,22386,14335,2196,7085,22090,11859,6636,64,8117,2618,486,1470,1801,628
淑芳,1417,546605,11761,7676,26918,13893,14900,30929,38197,56260,1710,12477,5946,10740,8452,11509,39993,19687,13437,11653,20228,4255,1450,16188,94592,1912,2562,45,35708,21416,939,7702,3664,1229
丽娜,275,546874,5865,6591,49560,21637,21422,48216,29798,46295,6567,17086,20901,16152,17550,8023,41339,59884,8787,8747,32746,13185,3713,4005,7513,7245,6073,51,14871,12593,1751,3282,4638,1063
秀花,474,545809,3509,1683,64458,24589,26536,6853,5417,8373,1892,23016,11901,8174,20225,8279,84093,79975,2652,10361,14066,23303,6441,1160,9261,6026,13467,24,12602,27906,11519,16290,10277,1955
春香,4718,541418,4695,3174,20497,13595,7766,19074,14743,22887,2005,33139,26087,24736,15802,51442,40554,35688,42026,68889,15857,10344,4755,6173,18817,7140,9297,20,8152,10922,2257,2115,2481,1007
海军,532536,10839,4900,2184,49699,30597,36608,19568,19619,27573,2371,30915,13870,15788,2121,14459,24936,57076,19583,43782,6075,9101,852,8446,31385,8503,4636,53,24658,19061,3985,5487,4190,1339
春英,4447,535802,8309,4292,34318,11670,9297,25470,19271,28005,3585,34126,18237,20469,21710,42757,62014,45539,23950,28900,19088,18103,6462,5687,16128,6120,5584,32,8227,7175,1484,920,2406,914
金华,253432,281080,5058,5863,21527,2476,6955,14972,12035,17968,8307,44299,17429,28652,18485,44286,28604,23264,37414,53179,24649,17230,784,7473,53181,10455,19798,49,3423,1873,338,1001,2617,868
岩,313423,212621,23628,10677,43178,12649,20505,98555,60562,69446,1580,23102,1659,18041,1842,2461,48990,42311,4740,1733,2797,1605,810,795,2250,901,3121,47,9251,8476,1046,4246,4361,914
金兰,6947,516890,4375,5801,25015,14938,10470,8285,7249,10216,4401,46287,16089,36063,17525,45274,38183,28055,25626,25699,31958,32281,4927,4198,13384,10428,22322,22,6343,15742,3464,4367,3754,1078
晶晶,38212,485491,7499,5368,42342,25911,10022,20958,4248,7459,4744,52185,26434,50502,16561,13838,22507,65020,38779,17361,12844,9374,4360,3628,8140,6524,7423,48,14246,14445,925,3555,3689,990
素英,470,519886,4941,3253,58951,10454,9091,28499,3545,2653,4117,47464,14206,58780,15874,6425,33330,62033,4320,8323,13294,10533,433,20222,69847,6716,3625,46,13106,1541,398,562,2362,1362
雷,480274,39925,9641,3489,39906,10290,7537,35066,22711,33124,7184,52956,10819,55047,1116,6557,41110,40328,30465,12748,3425,4240,1409,8112,30091,11857,7916,244,20653,4779,498,1843,3907,1131
文华,307438,208786,6538,6241,30276,14773,14266,19191,11456,18017,8047,32676,15342,21420,14786,28697,34957,28593,26362,29768,22970,12735,1896,9625,37065,12189,26482,45,12834,9588,1438,3199,3703,1049
美玲,1094,514545,3114,2296,21171,15930,18699,16419,15184,21538,6113,34947,20549,29558,22852,25707,48051,38287,16736,29865,46888,24885,2524,6502,11529,4273,11109,19,10910,3965,945,1371,2863,840
红英,3274,511633,2359,1418,20066,11820,4386,4783,3196,5218,8381,59832,20107,17392,7757,46125,27608,31767,40534,36996,23617,11283,1352,8893,59617,11581,19153,150,14897,6885,1382,1670,3416,1274
晨,292934,220656,19144,10759,23275,15037,7723,21367,5976,11509,16893,66062,24473,45429,9652,24419,39941,36653,26305,14704,5789,4663,990,5492,14667,4537,7286,101,34527,6213,1135,3073,4489,1361
玉霞,1848,510279,6363,5938,31956,7149,20944,31131,22908,37937,1502,26129,2492,30952,7434,4706,59174,71330,13414,7513,19889,3835,3543,3660,18051,5788,1389,40,13632,34771,1997,9632,5374,1554
玉玲,6546,502885,8957,6760,30552,7901,15141,26560,20094,32155,2088,20192,4497,33099,8838,10856,68121,67307,16935,10267,31195,13773,2936,4188,9499,2799,6352,53,18795,16046,1695,3809,6298,1690
小兰,3606,504154,1002,399,11285,7996,2860,862,638,908,1814,25990,15365,16380,15136,80294,6325,16377,23884,53994,33293,31729,3867,22167,62794,13838,8697,61,15119,24921,1303,5711,2036,715
珍,50674,455216,2736,1842,18324,11374,12411,6628,6829,14722,3435,26546,9137,27972,8931,23258,20575,38164,34744,25674,35102,28844,5144,5338,31517,10905,12510,51611,14391,8627,2862,2701,2328,708
小玲,9101,496123,1474,508,11277,11859,3709,1412,1350,1515,2117,15554,16403,15859,23132,32613,8056,35045,28589,46820,70017,40428,5461,19049,34302,5609,2265,61,41160,20279,1199,4554,2767,781
杨,314756,190422,10229,6557,29339,6890,9520,37180,18627,24595,3935,35123,7942,37277,2787,10155,23979,24582,33321,25170,6225,4353,1586,26038,70200,14186,10509,180,13440,3349,697,2509,3617,1081
玉莲,2088,500060,3277,1795,26831,25317,23389,15865,13380,15514,2823,12742,13128,17491,11877,13944,37703,37306,19663,30393,29241,19724,4076,4979,27121,6466,12709,39,23169,30411,7320,6972,5806,1677
松,465881,35471,7706,4190,32522,4083,3029,24497,6897,9552,2678,33917,5395,40072,5857,16958,23368,35679,33266,13168,10884,11293,2242,25625,54176,52639,21394,4587,10968,789,1743,345,1460,693
群,133651,364936,4076,2533,8019,2310,2564,13682,4921,7267,8266,38151,15860,53559,7744,24105,29595,23245,35803,44479,24204,16084,2963,18342,48990,31649,10747,264,11595,1586,2831,471,2148,816
翠兰,329,498151,3309,2173,31741,21875,13184,12872,3719,8931,2793,64937,3168,49735,4424,6699,51682,43512,32121,22576,11062,11895,874,5490,32265,3233,20966,21,12821,12316,589,2626,3559,1312
玉香,6748,489392,4883,5190,29387,15845,10004,29931,19463,23735,1379,18792,16411,15978,11871,18252,84794,33428,20684,33408,16473,10343,6291,4639,15612,6497,11199,20,6228,16770,2555,2566,2638,874
锋,467889,27095,3833,1487,11387,10212,4357,13724,6587,8424,8618,38096,22458,33508,14468,21267,30000,35712,39963,32183,24435,29116,3747,10285,19266,10755,7473,96,32816,9569,593,3786,2927,816
江,459237,35181,8045,3735,25700,16477,15047,18373,16041,25719,3444,21740,11091,9383,2272,18016,10647,13678,18772,25520,10446,12722,3210,23734,64842,49349,22933,1270,20241,7529,1751,2804,7512,2375
海涛,468152,24972,8557,3940,45335,9695,13693,23911,21685,41866,2842,26916,6884,25462,3236,10951,46237,66196,23812,16523,18345,7103,1417,4995,15311,4843,7917,62,14991,8675,1244,4555,4344,1080
春艳,6367,485984,5459,5058,31421,6940,18735,43271,39471,60841,1227,20992,2960,15297,1645,6679,20119,29631,20851,30293,6027,18083,1109,10238,33781,14387,20764,51,15835,5851,548,1877,2413,646
